,timepoint,cloudcover,highcloud,midcloud,lowcloud,rh_profile,wind_profile,temp2m,lifted_index,rh2m,msl_pressure,prec_type,prec_amount,snow_depth,wind10m.direction,wind10m.speed,country
31,96,9,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': -9999}, {'layer': '900mb', 'rh': -9999}, {'layer': '850mb', 'rh': -9999}, {'layer': '800mb', 'rh': 12}, {'layer': '750mb', 'rh': 12}, {'layer': '700mb', 'rh': 7}, {'layer': '650mb', 'rh': 6}, {'layer': '600mb', 'rh': 7}, {'layer': '550mb', 'rh': 7}, {'layer': '500mb', 'rh': 7}, {'layer': '450mb', 'rh': 7}, {'layer': '400mb', 'rh': 10}, {'layer': '350mb', 'rh': 14}, {'layer': '300mb', 'rh': 15}, {'layer': '250mb', 'rh': 16}, {'layer': '200mb', 'rh': 2}]","[{'layer': '950mb', 'direction': -9999, 'speed': -9999}, {'layer': '900mb', 'direction': -9999, 'speed': -9999}, {'layer': '850mb', 'direction': -9999, 'speed': -9999}, {'layer': '800mb', 'direction': 350, 'speed': 2}, {'layer': '750mb', 'direction': 300, 'speed': 2}, {'layer': '700mb', 'direction': 320, 'speed': 2}, {'layer': '650mb', 'direction': 320, 'speed': 3}, {'layer': '600mb', 'direction': 345, 'speed': 2}, {'layer': '550mb', 'direction': 50, 'speed': 3}, {'layer': '500mb', 'direction': 60, 'speed': 3}, {'layer': '450mb', 'direction': 65, 'speed': 4}, {'layer': '400mb', 'direction': 80, 'speed': 4}, {'layer': '350mb', 'direction': 90, 'speed': 4}, {'layer': '300mb', 'direction': 125, 'speed': 5}, {'layer': '250mb', 'direction': 100, 'speed': 5}, {'layer': '200mb', 'direction': 110, 'speed': 5}]",20,-1,10,-9999,rain,4,0,45,2,Papua New Guinea
32,99,9,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': -9999}, {'layer': '900mb', 'rh': -9999}, {'layer': '850mb', 'rh': -9999}, {'layer': '800mb', 'rh': 12}, {'layer': '750mb', 'rh': 13}, {'layer': '700mb', 'rh': 9}, {'layer': '650mb', 'rh': 7}, {'layer': '600mb', 'rh': 8}, {'layer': '550mb', 'rh': 7}, {'layer': '500mb', 'rh': 6}, {'layer': '450mb', 'rh': 8}, {'layer': '400mb', 'rh': 12}, {'layer': '350mb', 'rh': 15}, {'layer': '300mb', 'rh': 16}, {'layer': '250mb', 'rh': 16}, {'layer': '200mb', 'rh': 15}]","[{'layer': '950mb', 'direction': -9999, 'speed': -9999}, {'layer': '900mb', 'direction': -9999, 'speed': -9999}, {'layer': '850mb', 'direction': -9999, 'speed': -9999}, {'layer': '800mb', 'direction': 30, 'speed': 2}, {'layer': '750mb', 'direction': 0, 'speed': 2}, {'layer': '700mb', 'direction': 295, 'speed': 2}, {'layer': '650mb', 'direction': 295, 'speed': 3}, {'layer': '600mb', 'direction': 305, 'speed': 2}, {'layer': '550mb', 'direction': 30, 'speed': 2}, {'layer': '500mb', 'direction': 60, 'speed': 3}, {'layer': '450mb', 'direction': 70, 'speed': 4}, {'layer': '400mb', 'direction': 80, 'speed': 5}, {'layer': '350mb', 'direction': 85, 'speed': 5}, {'layer': '300mb', 'direction': 100, 'speed': 5}, {'layer': '250mb', 'direction': 110, 'speed': 5}, {'layer': '200mb', 'direction': 100, 'speed': 5}]",23,-1,10,-9999,rain,4,0,45,2,Papua New Guinea
33,102,9,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': -9999}, {'layer': '900mb', 'rh': -9999}, {'layer': '850mb', 'rh': -9999}, {'layer': '800mb', 'rh': 13}, {'layer': '750mb', 'rh': 14}, {'layer': '700mb', 'rh': 14}, {'layer': '650mb', 'rh': 12}, {'layer': '600mb', 'rh': 11}, {'layer': '550mb', 'rh': 11}, {'layer': '500mb', 'rh': 10}, {'layer': '450mb', 'rh': 9}, {'layer': '400mb', 'rh': 11}, {'layer': '350mb', 'rh': 16}, {'layer': '300mb', 'rh': 8}, {'layer': '250mb', 'rh': 5}, {'layer': '200mb', 'rh': 8}]","[{'layer': '950mb', 'direction': -9999, 'speed': -9999}, {'layer': '900mb', 'direction': -9999, 'speed': -9999}, {'layer': '850mb', 'direction': -9999, 'speed': -9999}, {'layer': '800mb', 'direction': 10, 'speed': 2}, {'layer': '750mb', 'direction': 15, 'speed': 2}, {'layer': '700mb', 'direction': 0, 'speed': 2}, {'layer': '650mb', 'direction': 300, 'speed': 2}, {'layer': '600mb', 'direction': 255, 'speed': 2}, {'layer': '550mb', 'direction': 265, 'speed': 2}, {'layer': '500mb', 'direction': 60, 'speed': 3}, {'layer': '450mb', 'direction': 65, 'speed': 4}, {'layer': '400mb', 'direction': 80, 'speed': 4}, {'layer': '350mb', 'direction': 85, 'speed': 5}, {'layer': '300mb', 'direction': 125, 'speed': 4}, {'layer': '250mb', 'direction': 115, 'speed': 6}, {'layer': '200mb', 'direction': 100, 'speed': 5}]",20,-4,13,-9999,rain,4,0,25,2,Papua New Guinea
34,105,6,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': -9999}, {'layer': '900mb', 'rh': -9999}, {'layer': '850mb', 'rh': -9999}, {'layer': '800mb', 'rh': 13}, {'layer': '750mb', 'rh': 13}, {'layer': '700mb', 'rh': 13}, {'layer': '650mb', 'rh': 12}, {'layer': '600mb', 'rh': 12}, {'layer': '550mb', 'rh': 10}, {'layer': '500mb', 'rh': 9}, {'layer': '450mb', 'rh': 10}, {'layer': '400mb', 'rh': 12}, {'layer': '350mb', 'rh': 12}, {'layer': '300mb', 'rh': 12}, {'layer': '250mb', 'rh': 7}, {'layer': '200mb', 'rh': 7}]","[{'layer': '950mb', 'direction': -9999, 'speed': -9999}, {'layer': '900mb', 'direction': -9999, 'speed': -9999}, {'layer': '850mb', 'direction': -9999, 'speed': -9999}, {'layer': '800mb', 'direction': 0, 'speed': 2}, {'layer': '750mb', 'direction': 15, 'speed': 2}, {'layer': '700mb', 'direction': 355, 'speed': 2}, {'layer': '650mb', 'direction': 335, 'speed': 2}, {'layer': '600mb', 'direction': 330, 'speed': 2}, {'layer': '550mb', 'direction': 65, 'speed': 2}, {'layer': '500mb', 'direction': 50, 'speed': 3}, {'layer': '450mb', 'direction': 50, 'speed': 4}, {'layer': '400mb', 'direction': 70, 'speed': 5}, {'layer': '350mb', 'direction': 110, 'speed': 5}, {'layer': '300mb', 'direction': 120, 'speed': 5}, {'layer': '250mb', 'direction': 125, 'speed': 5}, {'layer': '200mb', 'direction': 110, 'speed': 5}]",13,-1,15,-9999,rain,4,0,335,2,Papua New Guinea
35,108,7,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': -9999}, {'layer': '900mb', 'rh': -9999}, {'layer': '850mb', 'rh': -9999}, {'layer': '800mb', 'rh': 14}, {'layer': '750mb', 'rh': 14}, {'layer': '700mb', 'rh': 12}, {'layer': '650mb', 'rh': 11}, {'layer': '600mb', 'rh': 12}, {'layer': '550mb', 'rh': 11}, {'layer': '500mb', 'rh': 9}, {'layer': '450mb', 'rh': 8}, {'layer': '400mb', 'rh': 7}, {'layer': '350mb', 'rh': 15}, {'layer': '300mb', 'rh': 15}, {'layer': '250mb', 'rh': 4}, {'layer': '200mb', 'rh': 6}]","[{'layer': '950mb', 'direction': -9999, 'speed': -9999}, {'layer': '900mb', 'direction': -9999, 'speed': -9999}, {'layer': '850mb', 'direction': -9999, 'speed': -9999}, {'layer': '800mb', 'direction': 345, 'speed': 2}, {'layer': '750mb', 'direction': 355, 'speed': 2}, {'layer': '700mb', 'direction': 335, 'speed': 2}, {'layer': '650mb', 'direction': 330, 'speed': 3}, {'layer': '600mb', 'direction': 330, 'speed': 2}, {'layer': '550mb', 'direction': 55, 'speed': 2}, {'layer': '500mb', 'direction': 50, 'speed': 3}, {'layer': '450mb', 'direction': 45, 'speed': 4}, {'layer': '400mb', 'direction': 70, 'speed': 5}, {'layer': '350mb', 'direction': 80, 'speed': 5}, {'layer': '300mb', 'direction': 105, 'speed': 4}, {'layer': '250mb', 'direction': 120, 'speed': 5}, {'layer': '200mb', 'direction': 105, 'speed': 6}]",13,2,15,-9999,rain,4,0,325,2,Papua New Guinea
36,111,9,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': -9999}, {'layer': '900mb', 'rh': -9999}, {'layer': '850mb', 'rh': -9999}, {'layer': '800mb', 'rh': 14}, {'layer': '750mb', 'rh': 15}, {'layer': '700mb', 'rh': 11}, {'layer': '650mb', 'rh': 9}, {'layer': '600mb', 'rh': 11}, {'layer': '550mb', 'rh': 10}, {'layer': '500mb', 'rh': 8}, {'layer': '450mb', 'rh': 7}, {'layer': '400mb', 'rh': 5}, {'layer': '350mb', 'rh': 11}, {'layer': '300mb', 'rh': 14}, {'layer': '250mb', 'rh': 3}, {'layer': '200mb', 'rh': 4}]","[{'layer': '950mb', 'direction': -9999, 'speed': -9999}, {'layer': '900mb', 'direction': -9999, 'speed': -9999}, {'layer': '850mb', 'direction': -9999, 'speed': -9999}, {'layer': '800mb', 'direction': 275, 'speed': 2}, {'layer': '750mb', 'direction': 330, 'speed': 2}, {'layer': '700mb', 'direction': 330, 'speed': 2}, {'layer': '650mb', 'direction': 320, 'speed': 3}, {'layer': '600mb', 'direction': 340, 'speed': 2}, {'layer': '550mb', 'direction': 40, 'speed': 3}, {'layer': '500mb', 'direction': 40, 'speed': 3}, {'layer': '450mb', 'direction': 35, 'speed': 4}, {'layer': '400mb', 'direction': 65, 'speed': 5}, {'layer': '350mb', 'direction': 80, 'speed': 5}, {'layer': '300mb', 'direction': 115, 'speed': 4}, {'layer': '250mb', 'direction': 110, 'speed': 5}, {'layer': '200mb', 'direction': 90, 'speed': 5}]",11,2,15,-9999,rain,4,0,310,2,Papua New Guinea
37,114,8,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': -9999}, {'layer': '900mb', 'rh': -9999}, {'layer': '850mb', 'rh': -9999}, {'layer': '800mb', 'rh': 13}, {'layer': '750mb', 'rh': 14}, {'layer': '700mb', 'rh': 12}, {'layer': '650mb', 'rh': 10}, {'layer': '600mb', 'rh': 12}, {'layer': '550mb', 'rh': 11}, {'layer': '500mb', 'rh': 10}, {'layer': '450mb', 'rh': 6}, {'layer': '400mb', 'rh': 4}, {'layer': '350mb', 'rh': 11}, {'layer': '300mb', 'rh': 11}, {'layer': '250mb', 'rh': 5}, {'layer': '200mb', 'rh': 7}]","[{'layer': '950mb', 'direction': -9999, 'speed': -9999}, {'layer': '900mb', 'direction': -9999, 'speed': -9999}, {'layer': '850mb', 'direction': -9999, 'speed': -9999}, {'layer': '800mb', 'direction': 260, 'speed': 2}, {'layer': '750mb', 'direction': 305, 'speed': 2}, {'layer': '700mb', 'direction': 325, 'speed': 2}, {'layer': '650mb', 'direction': 320, 'speed': 3}, {'layer': '600mb', 'direction': 335, 'speed': 2}, {'layer': '550mb', 'direction': 30, 'speed': 3}, {'layer': '500mb', 'direction': 35, 'speed': 3}, {'layer': '450mb', 'direction': 40, 'speed': 4}, {'layer': '400mb', 'direction': 65, 'speed': 5}, {'layer': '350mb', 'direction': 80, 'speed': 5}, {'layer': '300mb', 'direction': 95, 'speed': 4}, {'layer': '250mb', 'direction': 100, 'speed': 5}, {'layer': '200mb', 'direction': 90, 'speed': 5}]",11,2,15,-9999,rain,5,0,325,2,Papua New Guinea
38,117,5,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': -9999}, {'layer': '900mb', 'rh': -9999}, {'layer': '850mb', 'rh': -9999}, {'layer': '800mb', 'rh': 12}, {'layer': '750mb', 'rh': 12}, {'layer': '700mb', 'rh': 10}, {'layer': '650mb', 'rh': 10}, {'layer': '600mb', 'rh': 11}, {'layer': '550mb', 'rh': 11}, {'layer': '500mb', 'rh': 8}, {'layer': '450mb', 'rh': 4}, {'layer': '400mb', 'rh': 5}, {'layer': '350mb', 'rh': 11}, {'layer': '300mb', 'rh': 10}, {'layer': '250mb', 'rh': 14}, {'layer': '200mb', 'rh': 7}]","[{'layer': '950mb', 'direction': -9999, 'speed': -9999}, {'layer': '900mb', 'direction': -9999, 'speed': -9999}, {'layer': '850mb', 'direction': -9999, 'speed': -9999}, {'layer': '800mb', 'direction': 255, 'speed': 2}, {'layer': '750mb', 'direction': 310, 'speed': 2}, {'layer': '700mb', 'direction': 325, 'speed': 2}, {'layer': '650mb', 'direction': 320, 'speed': 3}, {'layer': '600mb', 'direction': 335, 'speed': 2}, {'layer': '550mb', 'direction': 35, 'speed': 2}, {'layer': '500mb', 'direction': 45, 'speed': 3}, {'layer': '450mb', 'direction': 55, 'speed': 4}, {'layer': '400mb', 'direction': 60, 'speed': 5}, {'layer': '350mb', 'direction': 90, 'speed': 5}, {'layer': '300mb', 'direction': 105, 'speed': 4}, {'layer': '250mb', 'direction': 110, 'speed': 5}, {'layer': '200mb', 'direction': 95, 'speed': 6}]",12,2,15,-9999,none,5,0,315,2,Papua New Guinea
39,120,6,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': -9999}, {'layer': '900mb', 'rh': -9999}, {'layer': '850mb', 'rh': -9999}, {'layer': '800mb', 'rh': 11}, {'layer': '750mb', 'rh': 13}, {'layer': '700mb', 'rh': 11}, {'layer': '650mb', 'rh': 11}, {'layer': '600mb', 'rh': 11}, {'layer': '550mb', 'rh': 11}, {'layer': '500mb', 'rh': 8}, {'layer': '450mb', 'rh': 7}, {'layer': '400mb', 'rh': 7}, {'layer': '350mb', 'rh': 13}, {'layer': '300mb', 'rh': 16}, {'layer': '250mb', 'rh': 15}, {'layer': '200mb', 'rh': 12}]","[{'layer': '950mb', 'direction': -9999, 'speed': -9999}, {'layer': '900mb', 'direction': -9999, 'speed': -9999}, {'layer': '850mb', 'direction': -9999, 'speed': -9999}, {'layer': '800mb', 'direction': 10, 'speed': 2}, {'layer': '750mb', 'direction': 320, 'speed': 2}, {'layer': '700mb', 'direction': 325, 'speed': 2}, {'layer': '650mb', 'direction': 325, 'speed': 3}, {'layer': '600mb', 'direction': 340, 'speed': 2}, {'layer': '550mb', 'direction': 35, 'speed': 2}, {'layer': '500mb', 'direction': 50, 'speed': 3}, {'layer': '450mb', 'direction': 60, 'speed': 4}, {'layer': '400mb', 'direction': 60, 'speed': 5}, {'layer': '350mb', 'direction': 90, 'speed': 5}, {'layer': '300mb', 'direction': 100, 'speed': 5}, {'layer': '250mb', 'direction': 105, 'speed': 5}, {'layer': '200mb', 'direction': 100, 'speed': 6}]",20,-1,8,-9999,rain,5,0,35,2,Papua New Guinea
40,123,8,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': -9999}, {'layer': '900mb', 'rh': -9999}, {'layer': '850mb', 'rh': -9999}, {'layer': '800mb', 'rh': 10}, {'layer': '750mb', 'rh': 14}, {'layer': '700mb', 'rh': 14}, {'layer': '650mb', 'rh': 10}, {'layer': '600mb', 'rh': 10}, {'layer': '550mb', 'rh': 9}, {'layer': '500mb', 'rh': 8}, {'layer': '450mb', 'rh': 9}, {'layer': '400mb', 'rh': 10}, {'layer': '350mb', 'rh': 15}, {'layer': '300mb', 'rh': 16}, {'layer': '250mb', 'rh': 15}, {'layer': '200mb', 'rh': 9}]","[{'layer': '950mb', 'direction': -9999, 'speed': -9999}, {'layer': '900mb', 'direction': -9999, 'speed': -9999}, {'layer': '850mb', 'direction': -9999, 'speed': -9999}, {'layer': '800mb', 'direction': 15, 'speed': 2}, {'layer': '750mb', 'direction': 355, 'speed': 2}, {'layer': '700mb', 'direction': 325, 'speed': 2}, {'layer': '650mb', 'direction': 315, 'speed': 3}, {'layer': '600mb', 'direction': 320, 'speed': 2}, {'layer': '550mb', 'direction': 0, 'speed': 2}, {'layer': '500mb', 'direction': 70, 'speed': 3}, {'layer': '450mb', 'direction': 65, 'speed': 4}, {'layer': '400mb', 'direction': 60, 'speed': 5}, {'layer': '350mb', 'direction': 70, 'speed': 5}, {'layer': '300mb', 'direction': 105, 'speed': 5}, {'layer': '250mb', 'direction': 105, 'speed': 5}, {'layer': '200mb', 'direction': 95, 'speed': 6}]",23,-4,9,-9999,rain,5,0,40,2,Papua New Guinea
41,126,8,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': -9999}, {'layer': '900mb', 'rh': -9999}, {'layer': '850mb', 'rh': -9999}, {'layer': '800mb', 'rh': 13}, {'layer': '750mb', 'rh': 14}, {'layer': '700mb', 'rh': 12}, {'layer': '650mb', 'rh': 11}, {'layer': '600mb', 'rh': 11}, {'layer': '550mb', 'rh': 10}, {'layer': '500mb', 'rh': 10}, {'layer': '450mb', 'rh': 10}, {'layer': '400mb', 'rh': 12}, {'layer': '350mb', 'rh': 14}, {'layer': '300mb', 'rh': 15}, {'layer': '250mb', 'rh': 16}, {'layer': '200mb', 'rh': 8}]","[{'layer': '950mb', 'direction': -9999, 'speed': -9999}, {'layer': '900mb', 'direction': -9999, 'speed': -9999}, {'layer': '850mb', 'direction': -9999, 'speed': -9999}, {'layer': '800mb', 'direction': 15, 'speed': 2}, {'layer': '750mb', 'direction': 5, 'speed': 2}, {'layer': '700mb', 'direction': 325, 'speed': 2}, {'layer': '650mb', 'direction': 300, 'speed': 2}, {'layer': '600mb', 'direction': 275, 'speed': 2}, {'layer': '550mb', 'direction': 210, 'speed': 2}, {'layer': '500mb', 'direction': 90, 'speed': 2}, {'layer': '450mb', 'direction': 80, 'speed': 3}, {'layer': '400mb', 'direction': 70, 'speed': 4}, {'layer': '350mb', 'direction': 70, 'speed': 5}, {'layer': '300mb', 'direction': 110, 'speed': 5}, {'layer': '250mb', 'direction': 100, 'speed': 5}, {'layer': '200mb', 'direction': 105, 'speed': 5}]",18,-4,12,-9999,rain,5,0,15,2,Papua New Guinea
42,129,7,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': -9999}, {'layer': '900mb', 'rh': -9999}, {'layer': '850mb', 'rh': -9999}, {'layer': '800mb', 'rh': 13}, {'layer': '750mb', 'rh': 13}, {'layer': '700mb', 'rh': 12}, {'layer': '650mb', 'rh': 12}, {'layer': '600mb', 'rh': 12}, {'layer': '550mb', 'rh': 10}, {'layer': '500mb', 'rh': 9}, {'layer': '450mb', 'rh': 10}, {'layer': '400mb', 'rh': 12}, {'layer': '350mb', 'rh': 13}, {'layer': '300mb', 'rh': 15}, {'layer': '250mb', 'rh': 11}, {'layer': '200mb', 'rh': 11}]","[{'layer': '950mb', 'direction': -9999, 'speed': -9999}, {'layer': '900mb', 'direction': -9999, 'speed': -9999}, {'layer': '850mb', 'direction': -9999, 'speed': -9999}, {'layer': '800mb', 'direction': 10, 'speed': 2}, {'layer': '750mb', 'direction': 5, 'speed': 2}, {'layer': '700mb', 'direction': 340, 'speed': 2}, {'layer': '650mb', 'direction': 320, 'speed': 2}, {'layer': '600mb', 'direction': 5, 'speed': 2}, {'layer': '550mb', 'direction': 90, 'speed': 2}, {'layer': '500mb', 'direction': 90, 'speed': 3}, {'layer': '450mb', 'direction': 80, 'speed': 3}, {'layer': '400mb', 'direction': 70, 'speed': 4}, {'layer': '350mb', 'direction': 75, 'speed': 5}, {'layer': '300mb', 'direction': 110, 'speed': 5}, {'layer': '250mb', 'direction': 105, 'speed': 5}, {'layer': '200mb', 'direction': 110, 'speed': 6}]",14,-1,15,-9999,rain,5,0,345,2,Papua New Guinea
43,132,8,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': -9999}, {'layer': '900mb', 'rh': -9999}, {'layer': '850mb', 'rh': -9999}, {'layer': '800mb', 'rh': 14}, {'layer': '750mb', 'rh': 14}, {'layer': '700mb', 'rh': 13}, {'layer': '650mb', 'rh': 11}, {'layer': '600mb', 'rh': 11}, {'layer': '550mb', 'rh': 10}, {'layer': '500mb', 'rh': 9}, {'layer': '450mb', 'rh': 9}, {'layer': '400mb', 'rh': 5}, {'layer': '350mb', 'rh': 9}, {'layer': '300mb', 'rh': 13}, {'layer': '250mb', 'rh': 5}, {'layer': '200mb', 'rh': 6}]","[{'layer': '950mb', 'direction': -9999, 'speed': -9999}, {'layer': '900mb', 'direction': -9999, 'speed': -9999}, {'layer': '850mb', 'direction': -9999, 'speed': -9999}, {'layer': '800mb', 'direction': 110, 'speed': 2}, {'layer': '750mb', 'direction': 15, 'speed': 2}, {'layer': '700mb', 'direction': 350, 'speed': 2}, {'layer': '650mb', 'direction': 355, 'speed': 2}, {'layer': '600mb', 'direction': 10, 'speed': 3}, {'layer': '550mb', 'direction': 65, 'speed': 3}, {'layer': '500mb', 'direction': 80, 'speed': 4}, {'layer': '450mb', 'direction': 70, 'speed': 4}, {'layer': '400mb', 'direction': 65, 'speed': 5}, {'layer': '350mb', 'direction': 80, 'speed': 5}, {'layer': '300mb', 'direction': 115, 'speed': 5}, {'layer': '250mb', 'direction': 115, 'speed': 5}, {'layer': '200mb', 'direction': 115, 'speed': 6}]",12,2,15,-9999,rain,5,0,325,2,Papua New Guinea
44,135,3,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': -9999}, {'layer': '900mb', 'rh': -9999}, {'layer': '850mb', 'rh': -9999}, {'layer': '800mb', 'rh': 13}, {'layer': '750mb', 'rh': 13}, {'layer': '700mb', 'rh': 11}, {'layer': '650mb', 'rh': 9}, {'layer': '600mb', 'rh': 10}, {'layer': '550mb', 'rh': 12}, {'layer': '500mb', 'rh': 9}, {'layer': '450mb', 'rh': 8}, {'layer': '400mb', 'rh': 5}, {'layer': '350mb', 'rh': 10}, {'layer': '300mb', 'rh': 7}, {'layer': '250mb', 'rh': 3}, {'layer': '200mb', 'rh': 5}]","[{'layer': '950mb', 'direction': -9999, 'speed': -9999}, {'layer': '900mb', 'direction': -9999, 'speed': -9999}, {'layer': '850mb', 'direction': -9999, 'speed': -9999}, {'layer': '800mb', 'direction': 260, 'speed': 2}, {'layer': '750mb', 'direction': 325, 'speed': 2}, {'layer': '700mb', 'direction': 340, 'speed': 2}, {'layer': '650mb', 'direction': 335, 'speed': 2}, {'layer': '600mb', 'direction': 5, 'speed': 2}, {'layer': '550mb', 'direction': 55, 'speed': 3}, {'layer': '500mb', 'direction': 75, 'speed': 4}, {'layer': '450mb', 'direction': 75, 'speed': 4}, {'layer': '400mb', 'direction': 60, 'speed': 5}, {'layer': '350mb', 'direction': 90, 'speed': 5}, {'layer': '300mb', 'direction': 110, 'speed': 5}, {'layer': '250mb', 'direction': 105, 'speed': 5}, {'layer': '200mb', 'direction': 110, 'speed': 5}]",11,2,15,-9999,rain,5,0,315,2,Papua New Guinea
45,138,5,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': -9999}, {'layer': '900mb', 'rh': -9999}, {'layer': '850mb', 'rh': -9999}, {'layer': '800mb', 'rh': 12}, {'layer': '750mb', 'rh': 11}, {'layer': '700mb', 'rh': 11}, {'layer': '650mb', 'rh': 12}, {'layer': '600mb', 'rh': 14}, {'layer': '550mb', 'rh': 13}, {'layer': '500mb', 'rh': 13}, {'layer': '450mb', 'rh': 11}, {'layer': '400mb', 'rh': 7}, {'layer': '350mb', 'rh': 9}, {'layer': '300mb', 'rh': 7}, {'layer': '250mb', 'rh': 4}, {'layer': '200mb', 'rh': 12}]","[{'layer': '950mb', 'direction': -9999, 'speed': -9999}, {'layer': '900mb', 'direction': -9999, 'speed': -9999}, {'layer': '850mb', 'direction': -9999, 'speed': -9999}, {'layer': '800mb', 'direction': 240, 'speed': 2}, {'layer': '750mb', 'direction': 300, 'speed': 2}, {'layer': '700mb', 'direction': 335, 'speed': 2}, {'layer': '650mb', 'direction': 340, 'speed': 3}, {'layer': '600mb', 'direction': 0, 'speed': 3}, {'layer': '550mb', 'direction': 35, 'speed': 3}, {'layer': '500mb', 'direction': 70, 'speed': 3}, {'layer': '450mb', 'direction': 65, 'speed': 3}, {'layer': '400mb', 'direction': 65, 'speed': 4}, {'layer': '350mb', 'direction': 105, 'speed': 5}, {'layer': '300mb', 'direction': 130, 'speed': 5}, {'layer': '250mb', 'direction': 115, 'speed': 5}, {'layer': '200mb', 'direction': 115, 'speed': 5}]",11,2,15,-9999,rain,5,0,265,2,Papua New Guinea
46,141,9,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': -9999}, {'layer': '900mb', 'rh': -9999}, {'layer': '850mb', 'rh': -9999}, {'layer': '800mb', 'rh': 12}, {'layer': '750mb', 'rh': 12}, {'layer': '700mb', 'rh': 13}, {'layer': '650mb', 'rh': 14}, {'layer': '600mb', 'rh': 14}, {'layer': '550mb', 'rh': 15}, {'layer': '500mb', 'rh': 12}, {'layer': '450mb', 'rh': 9}, {'layer': '400mb', 'rh': 8}, {'layer': '350mb', 'rh': 9}, {'layer': '300mb', 'rh': 2}, {'layer': '250mb', 'rh': 3}, {'layer': '200mb', 'rh': 14}]","[{'layer': '950mb', 'direction': -9999, 'speed': -9999}, {'layer': '900mb', 'direction': -9999, 'speed': -9999}, {'layer': '850mb', 'direction': -9999, 'speed': -9999}, {'layer': '800mb', 'direction': 255, 'speed': 2}, {'layer': '750mb', 'direction': 350, 'speed': 2}, {'layer': '700mb', 'direction': 350, 'speed': 2}, {'layer': '650mb', 'direction': 345, 'speed': 2}, {'layer': '600mb', 'direction': 345, 'speed': 3}, {'layer': '550mb', 'direction': 30, 'speed': 2}, {'layer': '500mb', 'direction': 90, 'speed': 3}, {'layer': '450mb', 'direction': 85, 'speed': 3}, {'layer': '400mb', 'direction': 75, 'speed': 4}, {'layer': '350mb', 'direction': 90, 'speed': 5}, {'layer': '300mb', 'direction': 120, 'speed': 5}, {'layer': '250mb', 'direction': 115, 'speed': 5}, {'layer': '200mb', 'direction': 110, 'speed': 6}]",11,2,15,-9999,rain,5,0,285,2,Papua New Guinea
